source,target,cosine_similarity
6770,6776,1.0000
6770,10094,1.0000
6770,10097,1.0000
6770,10098,1.0000
6770,12758,1.0000
6770,14729,1.0000
6770,14738,1.0000
6770,14739,1.0000
6770,14741,1.0000
6770,14744,1.0000
6770,14745,1.0000
6770,14746,1.0000
6770,14748,1.0000
6770,14749,1.0000
6770,14750,1.0000
6770,14751,1.0000
6770,14752,1.0000
6770,18524,1.0000
6774,6776,1.0000
6774,10094,1.0000
6774,10097,1.0000
6774,10098,1.0000
6774,12758,1.0000
6774,14729,1.0000
6774,14738,1.0000
6774,14739,1.0000
6774,14741,1.0000
6774,14744,1.0000
6774,14745,1.0000
6774,14746,1.0000
6774,14748,1.0000
6774,14749,1.0000
6774,14750,1.0000
6774,14751,1.0000
6774,14752,1.0000
6774,18524,1.0000
6776,8098,1.0000
6776,9397,1.0000
6776,14714,1.0000
6776,14723,1.0000
6776,14724,1.0000
8098,10094,1.0000
8098,10097,1.0000
8098,10098,1.0000
8098,12758,1.0000
8098,14729,1.0000
8098,14738,1.0000
8098,14739,1.0000
8098,14741,1.0000
8098,14744,1.0000
8098,14745,1.0000
8098,14746,1.0000
8098,14748,1.0000
8098,14749,1.0000
8098,14750,1.0000
8098,14751,1.0000
8098,14752,1.0000
8098,18524,1.0000
9397,10094,1.0000
9397,10097,1.0000
9397,10098,1.0000
9397,12758,1.0000
9397,14729,1.0000
9397,14738,1.0000
9397,14739,1.0000
9397,14741,1.0000
9397,14744,1.0000
9397,14745,1.0000
9397,14746,1.0000
9397,14748,1.0000
9397,14749,1.0000
9397,14750,1.0000
9397,14751,1.0000
9397,14752,1.0000
9397,18524,1.0000
10094,14714,1.0000
10094,14723,1.0000
10094,14724,1.0000
10097,14714,1.0000
10097,14723,1.0000
10097,14724,1.0000
10098,14714,1.0000
10098,14723,1.0000
10098,14724,1.0000
12758,14714,1.0000
12758,14723,1.0000
12758,14724,1.0000
14308,19165,1.0000
14585,14629,1.0000
14714,14729,1.0000
14714,14738,1.0000
14714,14739,1.0000
14714,14741,1.0000
14714,14744,1.0000
14714,14745,1.0000
14714,14746,1.0000
14714,14748,1.0000
14714,14749,1.0000
14714,14750,1.0000
14714,14751,1.0000
14714,14752,1.0000
14714,18524,1.0000
14723,14729,1.0000
14723,14738,1.0000
14723,14739,1.0000
14723,14741,1.0000
14723,14744,1.0000
14723,14745,1.0000
14723,14746,1.0000
14723,14748,1.0000
14723,14749,1.0000
14723,14750,1.0000
14723,14751,1.0000
14723,14752,1.0000
14723,18524,1.0000
14724,14729,1.0000
14724,14738,1.0000
14724,14739,1.0000
14724,14741,1.0000
14724,14744,1.0000
14724,14745,1.0000
14724,14746,1.0000
14724,14748,1.0000
14724,14749,1.0000
14724,14750,1.0000
14724,14751,1.0000
14724,14752,1.0000
14724,18524,1.0000
4506,5565,1.0000
4506,5765,1.0000
4506,7130,1.0000
4506,13254,1.0000
4506,13468,1.0000
4506,13832,1.0000
5565,5765,1.0000
5565,7130,1.0000
5565,13468,1.0000
5565,13832,1.0000
5765,7130,1.0000
5765,13254,1.0000
5765,13468,1.0000
5765,13832,1.0000
7130,13254,1.0000
7130,13468,1.0000
7130,13832,1.0000
13254,13468,1.0000
13254,13832,1.0000
13468,13832,1.0000
18528,18531,1.0000
556,561,1.0000
556,564,1.0000
556,567,1.0000
556,568,1.0000
556,577,1.0000
556,578,1.0000
556,581,1.0000
556,588,1.0000
556,589,1.0000
556,2922,1.0000
556,6747,1.0000
556,6758,1.0000
556,6768,1.0000
556,6770,1.0000
556,6774,1.0000
556,8098,1.0000
556,9397,1.0000
556,14714,1.0000
556,14723,1.0000
556,14724,1.0000
561,564,1.0000
561,567,1.0000
561,568,1.0000
561,577,1.0000
561,578,1.0000
561,581,1.0000
561,588,1.0000
561,589,1.0000
561,2922,1.0000
561,6747,1.0000
561,6758,1.0000
561,6768,1.0000
561,6770,1.0000
561,6774,1.0000
561,8098,1.0000
561,9397,1.0000
561,14714,1.0000
561,14723,1.0000
561,14724,1.0000
564,567,1.0000
564,568,1.0000
564,577,1.0000
564,578,1.0000
564,581,1.0000
564,588,1.0000
564,589,1.0000
564,2922,1.0000
564,6747,1.0000
564,6758,1.0000
564,6768,1.0000
564,6770,1.0000
564,6774,1.0000
564,8098,1.0000
564,9397,1.0000
564,14714,1.0000
564,14723,1.0000
564,14724,1.0000
567,568,1.0000
567,577,1.0000
567,578,1.0000
567,581,1.0000
567,588,1.0000
567,589,1.0000
567,2922,1.0000
567,6747,1.0000
567,6758,1.0000
567,6768,1.0000
567,6770,1.0000
567,6774,1.0000
567,8098,1.0000
567,9397,1.0000
567,14714,1.0000
567,14723,1.0000
567,14724,1.0000
568,577,1.0000
568,578,1.0000
568,581,1.0000
568,588,1.0000
568,589,1.0000
568,2922,1.0000
568,6747,1.0000
568,6758,1.0000
568,6768,1.0000
568,6770,1.0000
568,6774,1.0000
568,8098,1.0000
568,9397,1.0000
568,14714,1.0000
568,14723,1.0000
568,14724,1.0000
577,578,1.0000
577,581,1.0000
577,588,1.0000
577,589,1.0000
577,2922,1.0000
577,6747,1.0000
577,6758,1.0000
577,6768,1.0000
577,6770,1.0000
577,6774,1.0000
577,8098,1.0000
577,9397,1.0000
577,14714,1.0000
577,14723,1.0000
577,14724,1.0000
578,581,1.0000
578,588,1.0000
578,589,1.0000
578,2922,1.0000
578,6747,1.0000
578,6758,1.0000
578,6768,1.0000
578,6770,1.0000
578,6774,1.0000
578,8098,1.0000
578,9397,1.0000
578,14714,1.0000
578,14723,1.0000
578,14724,1.0000
581,588,1.0000
581,589,1.0000
581,2922,1.0000
581,6747,1.0000
581,6758,1.0000
581,6768,1.0000
581,6770,1.0000
581,6774,1.0000
581,8098,1.0000
581,9397,1.0000
581,14714,1.0000
581,14723,1.0000
581,14724,1.0000
588,589,1.0000
588,2922,1.0000
588,6747,1.0000
588,6758,1.0000
588,6768,1.0000
588,6770,1.0000
588,6774,1.0000
588,8098,1.0000
588,9397,1.0000
588,14714,1.0000
588,14723,1.0000
588,14724,1.0000
589,2922,1.0000
589,6747,1.0000
589,6758,1.0000
589,6768,1.0000
589,6770,1.0000
589,6774,1.0000
589,8098,1.0000
589,9397,1.0000
589,14714,1.0000
589,14723,1.0000
589,14724,1.0000
1078,9449,1.0000
2094,4676,1.0000
2094,6642,1.0000
2094,6643,1.0000
2094,6644,1.0000
2094,6648,1.0000
2094,6760,1.0000
2094,6763,1.0000
2094,8714,1.0000
2094,10225,1.0000
2094,12714,1.0000
2094,12750,1.0000
2094,14584,1.0000
2094,14708,1.0000
2922,6747,1.0000
2922,6758,1.0000
2922,6768,1.0000
2922,6770,1.0000
2922,6774,1.0000
2922,8098,1.0000
2922,9397,1.0000
2922,14714,1.0000
2922,14723,1.0000
2922,14724,1.0000
4676,6642,1.0000
4676,6643,1.0000
4676,6644,1.0000
4676,6648,1.0000
4676,6760,1.0000
4676,6763,1.0000
4676,8714,1.0000
4676,10225,1.0000
4676,12714,1.0000
4676,12750,1.0000
4676,14584,1.0000
4676,14708,1.0000
5565,13254,1.0000
6642,6643,1.0000
6642,6644,1.0000
6642,6648,1.0000
6642,6760,1.0000
6642,6763,1.0000
6642,8714,1.0000
6642,10225,1.0000
6642,12714,1.0000
6642,12750,1.0000
6642,14584,1.0000
6642,14708,1.0000
6643,6644,1.0000
6643,6648,1.0000
6643,6760,1.0000
6643,6763,1.0000
6643,8714,1.0000
6643,10225,1.0000
6643,12714,1.0000
6643,12750,1.0000
6643,14584,1.0000
6643,14708,1.0000
6644,6648,1.0000
6644,6760,1.0000
6644,6763,1.0000
6644,8714,1.0000
6644,10225,1.0000
6644,12714,1.0000
6644,12750,1.0000
6644,14584,1.0000
6644,14708,1.0000
6648,6760,1.0000
6648,6763,1.0000
6648,8714,1.0000
6648,10225,1.0000
6648,12714,1.0000
6648,12750,1.0000
6648,14584,1.0000
6648,14708,1.0000
6747,6758,1.0000
6747,6768,1.0000
6747,6770,1.0000
6747,6774,1.0000
6747,8098,1.0000
6747,9397,1.0000
6747,14714,1.0000
6747,14723,1.0000
6747,14724,1.0000
6758,6768,1.0000
6758,6770,1.0000
6758,6774,1.0000
6758,8098,1.0000
6758,9397,1.0000
6758,14714,1.0000
6758,14723,1.0000
6758,14724,1.0000
6760,6763,1.0000
6760,8714,1.0000
6760,10225,1.0000
6760,12714,1.0000
6760,12750,1.0000
6760,14584,1.0000
6760,14708,1.0000
6763,8714,1.0000
6763,10225,1.0000
6763,12714,1.0000
6763,12750,1.0000
6763,14584,1.0000
6763,14708,1.0000
6768,6770,1.0000
6768,6774,1.0000
6768,8098,1.0000
6768,9397,1.0000
6768,14714,1.0000
6768,14723,1.0000
6768,14724,1.0000
6770,6774,1.0000
6770,8098,1.0000
6770,9397,1.0000
6770,14714,1.0000
6770,14723,1.0000
6770,14724,1.0000
6774,8098,1.0000
6774,9397,1.0000
6774,14714,1.0000
6774,14723,1.0000
6774,14724,1.0000
8098,9397,1.0000
8098,14714,1.0000
8098,14723,1.0000
8098,14724,1.0000
8714,10225,1.0000
8714,12714,1.0000
8714,12750,1.0000
8714,14584,1.0000
8714,14708,1.0000
9397,14714,1.0000
9397,14723,1.0000
9397,14724,1.0000
10225,12714,1.0000
10225,12750,1.0000
10225,14584,1.0000
10225,14708,1.0000
12714,12750,1.0000
12714,14584,1.0000
12714,14708,1.0000
12750,14584,1.0000
12750,14708,1.0000
14584,14708,1.0000
14714,14723,1.0000
14714,14724,1.0000
14723,14724,1.0000
9333,14578,1.0000
8073,15816,1.0000
560,571,1.0000
560,585,1.0000
560,10100,1.0000
560,16114,1.0000
571,585,1.0000
571,10100,1.0000
571,16114,1.0000
585,10100,1.0000
585,16114,1.0000
10100,16114,1.0000
573,582,0.9996
582,595,0.9996
582,600,0.9996
582,9400,0.9996
558,570,0.9984
554,14727,0.9970
1078,9450,0.9968
9449,9450,0.9968
558,14725,0.9964
2887,8489,0.9960
576,598,0.9954
570,14725,0.9953
569,597,0.9951
569,599,0.9951
569,1942,0.9951
569,6776,0.9951
569,10094,0.9951
569,10097,0.9951
569,10098,0.9951
569,12758,0.9951
569,14729,0.9951
569,14738,0.9951
569,14739,0.9951
569,14741,0.9951
569,14744,0.9951
569,14745,0.9951
569,14746,0.9951
569,14748,0.9951
569,14749,0.9951
569,14750,0.9951
569,14751,0.9951
569,14752,0.9951
569,18524,0.9951
597,4684,0.9951
599,4684,0.9951
1942,4684,0.9951
4684,6776,0.9951
4684,10094,0.9951
4684,10097,0.9951
4684,10098,0.9951
4684,12758,0.9951
